       0       1       0   20132
       0       2       0   21671
       0       3       0   19790
       0       4       0   16499
       1       1       0   39990
       1       2       0   32894
       1       3       0   20739
       1       4       0   11197
       0       1       1     204
       0       2       1     394
       0       3       1     488
       0       4       1     766
       1       1       1     647
       1       2       1     857
       1       3       1     855
       1       4       1     643
